n	x	y	z
278	30.000000	8.906250	-6416.816828
279	30.000000	7.968750	-6188.413887
280	30.000000	7.031250	-5898.696509
281	30.000000	6.093750	-5537.663354
282	30.000000	5.156250	-5101.370698
283	30.000000	4.218750	-4624.940248
284	30.000000	3.281250	-4386.598748
285	30.000000	2.343750	-3999.420702
286	30.000000	1.406250	-3516.015486
287	30.000000	0.468750	-3092.432998
288	30.281250	0.000000	-1758.696322
289	30.843750	0.000000	-1564.945442
290	31.406250	0.000000	-1412.169448
291	31.968750	0.000000	-1297.852348
292	32.531250	0.000000	-1209.640104
293	33.093750	0.000000	-1132.039278
294	33.656250	0.000000	-1051.582226
295	34.218750	0.000000	-961.083367
296	34.500000	0.468750	3873.775037
297	34.500000	1.406250	4245.102643
298	34.500000	2.343750	4583.996579
299	34.500000	3.281250	4825.432082
300	34.500000	4.218750	4982.754323
301	34.500000	5.156250	5295.772601
302	34.500000	6.093750	5651.669353
303	34.500000	7.031250	6031.359416
304	34.500000	7.968750	6418.595909
305	34.500000	8.906250	6796.832026
306	34.500000	9.843750	7152.771146
307	34.500000	10.781250	7476.724274
308	34.500000	11.718750	7761.511458
309	34.500000	12.656250	8001.072836
310	34.500000	13.593750	8189.130963
311	34.500000	14.531250	8317.860709
312	34.500000	15.468750	8376.444366
313	34.500000	16.406250	8349.593342
314	34.500000	17.343750	8216.918657
315	34.500000	18.281250	7956.252762
316	34.500000	19.218750	7565.378391
317	34.500000	20.156250	7227.987170
318	34.500000	21.093750	6873.362217
319	34.500000	22.031250	6300.804751
320	34.500000	22.968750	5771.864324
321	34.500000	23.906250	5330.876834
322	34.500000	24.843750	4966.337613
323	34.500000	25.781250	4653.605246
324	34.500000	26.718750	4369.377412
325	34.500000	27.656250	4096.646699
326	34.500000	28.593750	3825.283577
327	34.500000	29.531250	3551.601923
328	34.500000	30.468750	3278.356510
329	34.500000	31.406250	3015.618714
330	34.500000	32.343750	2782.403195
331	34.500000	33.281250	2607.977979
332	34.500000	34.218750	2529.690037
333	34.500000	35.156250	2581.160665
334	34.500000	36.093750	2761.796479
335	34.500000	37.031250	2916.687613
336	34.843750	37.500000	-1821.664110
337	35.531250	37.500000	-1616.698367
338	36.218750	37.500000	-1511.457280
339	36.906250	37.500000	-1412.663803
340	37.593750	37.500000	-1302.279869
341	38.281250	37.500000	-1180.810302
342	38.968750	37.500000	-1067.308290
343	39.656250	37.500000	-1056.082395
344	40.000000	37.031250	-5023.233963
345	40.000000	36.093750	-5180.866509
346	40.000000	35.156250	-5472.786202
347	40.000000	34.218750	-5800.933529
348	40.000000	33.281250	-6151.423029
349	40.000000	32.343750	-6508.662706
350	40.000000	31.406250	-6857.505964
351	40.000000	30.468750	-7186.131159
352	40.000000	29.531250	-7486.022490
353	40.000000	28.593750	-7750.806538
354	40.000000	27.656250	-7974.891225
355	40.000000	26.718750	-8152.124695
356	40.000000	25.781250	-8274.392550
357	40.000000	24.843750	-8330.056132
358	40.000000	23.906250	-8302.430274
359	40.000000	22.968750	-8169.503265
360	40.000000	22.031250	-7908.824650
361	40.000000	21.093750	-7532.624543
362	40.000000	20.156250	-7260.618873
363	40.000000	19.218750	-6873.557504
364	40.000000	18.281250	-6322.520858
365	40.000000	17.343750	-5829.772734
366	40.000000	16.406250	-5418.171705
367	40.000000	15.468750	-5070.985149
368	40.000000	14.531250	-4762.775835
369	40.000000	13.593750	-4471.485210
370	40.000000	12.656250	-4182.050662
371	40.000000	11.718750	-3886.485847
372	40.000000	10.781250	-3583.359964
373	40.000000	9.843750	-3277.870646
374	40.000000	8.906250	-2982.837514
375	40.000000	7.968750	-2720.357408
376	40.000000	7.031250	-2522.741539
377	40.000000	6.093750	-2428.978532
378	40.000000	5.156250	-2470.109695
379	40.000000	4.218750	-2630.702003
380	40.000000	3.281250	-2728.257676
381	40.000000	2.343750	-2879.907276
382	40.000000	1.406250	-2994.049213
383	40.000000	0.468750	-2971.128341
384	40.281250	0.000000	-1338.681627
385	40.843750	0.000000	-1441.513140
386	41.406250	0.000000	-1494.686265
387	41.968750	0.000000	-1490.178560
388	42.531250	0.000000	-1422.593945
389	43.093750	0.000000	-1287.303519
390	43.656250	0.000000	-1082.145477
391	44.218750	0.000000	-812.892473
392	44.500000	0.468750	1312.930379
393	44.500000	1.406250	1691.083547
394	44.500000	2.343750	2197.901884
395	44.500000	3.281250	2669.113274
396	44.500000	4.218750	3011.994093
397	44.500000	5.156250	3565.324978
398	44.500000	6.093750	4027.387346
399	44.500000	7.031250	4372.445531
400	44.500000	7.968750	4631.233013
401	44.500000	8.906250	4840.921145
402	44.500000	9.843750	5030.758309
403	44.500000	10.781250	5219.513507
404	44.500000	11.718750	5417.390273
405	44.500000	12.656250	5628.374089
406	44.500000	13.593750	5851.471990
407	44.500000	14.531250	6080.494056
408	44.500000	15.468750	6302.663032
409	44.500000	16.406250	6497.276051
410	44.500000	17.343750	6637.519138
411	44.500000	18.281250	6700.807493
412	44.500000	19.218750	6703.022775
413	44.500000	20.156250	6823.149226
414	44.500000	21.093750	6618.044131
415	44.500000	22.031250	6589.973012
416	44.500000	22.968750	6656.110115
417	44.500000	23.906250	6756.541615
418	44.500000	24.843750	6859.716920
419	44.500000	25.781250	6942.402927
420	44.500000	26.718750	6990.924091
421	44.500000	27.656250	6998.910361
422	44.500000	28.593750	6964.311172
423	44.500000	29.531250	6886.898678
424	44.500000	30.468750	6766.410644
425	44.500000	31.406250	6601.155412
426	44.500000	32.343750	6386.957415
427	44.500000	33.281250	6116.671501
428	44.500000	34.218750	5781.256746
429	44.500000	35.156250	5374.710674
430	44.500000	36.093750	4914.124640
431	44.500000	37.031250	4637.146690
432	44.843750	37.500000	-58.257909
433	45.531250	37.500000	-174.480714
434	46.218750	37.500000	-72.673378
435	46.906250	37.500000	59.989003
436	47.593750	37.500000	186.327975
437	48.281250	37.500000	305.700859
438	48.968750	37.500000	453.983239
439	49.656250	37.500000	816.997068
440	50.000000	37.031250	554.318239
441	50.000000	36.093750	1005.829861
442	50.000000	35.156250	1598.928015
443	50.000000	34.218750	2067.235461
444	50.000000	33.281250	2400.037467
445	50.000000	32.343750	2627.690232
446	50.000000	31.406250	2785.188503
447	50.000000	30.468750	2899.775606
448	50.000000	29.531250	2988.593052
449	50.000000	28.593750	3060.074722
450	50.000000	27.656250	3115.969359
451	50.000000	26.718750	3153.023147
452	50.000000	25.781250	3164.316255
453	50.000000	24.843750	3140.706175
454	50.000000	23.906250	3073.322105
455	50.000000	22.968750	2958.659448
456	50.000000	22.031250	2807.763866
457	50.000000	21.093750	2684.662179
458	50.000000	20.156250	2713.607161
459	50.000000	19.218750	2456.532544
460	50.000000	18.281250	2406.934386
461	50.000000	17.343750	2399.555552
462	50.000000	16.406250	2402.705262
463	50.000000	15.468750	2412.448271
464	50.000000	14.531250	2431.137736
465	50.000000	13.593750	2461.305888
466	50.000000	12.656250	2503.560828
467	50.000000	11.718750	2556.360957
468	50.000000	10.781250	2615.928234
469	50.000000	9.843750	2675.396844
470	50.000000	8.906250	2722.869980
471	50.000000	7.968750	2738.625277
472	50.000000	7.031250	2692.918871
473	50.000000	6.093750	2548.364097
474	50.000000	5.156250	2274.181401
475	50.000000	4.218750	1896.162519
476	50.000000	3.281250	1716.146480
477	50.000000	2.343750	1395.519335
478	50.000000	1.406250	1027.212139
479	50.000000	0.468750	775.747166
480	50.281250	0.000000	-304.357732
481	50.843750	0.000000	-484.977644
482	51.406250	0.000000	-604.429083
483	51.968750	0.000000	-657.392209
484	52.531250	0.000000	-646.470799
485	53.093750	0.000000	-576.718758
486	53.656250	0.000000	-453.933218
487	54.218750	0.000000	-286.506195
488	54.500000	0.468750	-2441.083971
489	54.500000	1.406250	-2359.560703
490	54.500000	2.343750	-2132.698495
491	54.500000	3.281250	-1860.671949
492	54.500000	4.218750	-1635.911300
493	54.500000	5.156250	-1342.316331
494	54.500000	6.093750	-1163.608444
495	54.500000	7.031250	-1116.628262
496	54.500000	7.968750	-1171.911778
497	54.500000	8.906250	-1292.186999
498	54.500000	9.843750	-1446.930508
499	54.500000	10.781250	-1615.761537
500	54.500000	11.718750	-1787.229195
501	54.500000	12.656250	-1956.663959
502	54.500000	13.593750	-2124.361133
503	54.500000	14.531250	-2294.240893
504	54.500000	15.468750	-2472.644681
505	54.500000	16.406250	-2666.467777
506	54.500000	17.343750	-2879.179287
507	54.500000	18.281250	-3103.317595
508	54.500000	19.218750	-3305.763718
509	54.500000	20.156250	-3377.559158
510	54.500000	21.093750	-3542.906036
511	54.500000	22.031250	-3575.079448
512	54.500000	22.968750	-3539.275797
513	54.500000	23.906250	-3470.647983
