n	x	y	J	J0
346	40.000000	35.156250	-8.209179	-5.472786
347	40.000000	34.218750	-8.701400	-5.800934
348	40.000000	33.281250	-9.227135	-6.151423
349	40.000000	32.343750	-9.762994	-6.508663
350	40.000000	31.406250	-10.286259	-6.857506
351	40.000000	30.468750	-10.779197	-7.186131
352	40.000000	29.531250	-11.229034	-7.486022
353	40.000000	28.593750	-11.626210	-7.750807
354	40.000000	27.656250	-11.962337	-7.974891
355	40.000000	26.718750	-12.228187	-8.152125
356	40.000000	25.781250	-12.411589	-8.274393
357	40.000000	24.843750	-12.495084	-8.330056
358	40.000000	23.906250	-12.453645	-8.302430
359	40.000000	22.968750	-12.254255	-8.169503
360	40.000000	22.031250	-11.863237	-7.908825
361	40.000000	21.093750	-11.298937	-7.532625
362	40.000000	20.156250	-10.890928	-7.260619
363	40.000000	19.218750	-10.310336	-6.873558
364	40.000000	18.281250	-9.483781	-6.322521
365	40.000000	17.343750	-8.744659	-5.829773
366	40.000000	16.406250	-8.127258	-5.418172
367	40.000000	15.468750	-7.606478	-5.070985
368	40.000000	14.531250	-7.144164	-4.762776
369	40.000000	13.593750	-6.707228	-4.471485
370	40.000000	12.656250	-6.273076	-4.182051
371	40.000000	11.718750	-5.829729	-3.886486
372	40.000000	10.781250	-5.375040	-3.583360
373	40.000000	9.843750	-4.916806	-3.277871
374	40.000000	8.906250	-4.474256	-2.982838
375	40.000000	7.968750	-4.080536	-2.720357
376	40.000000	7.031250	-3.784112	-2.522742
377	40.000000	6.093750	-3.643468	-2.428979
378	40.000000	5.156250	-3.705165	-2.470110
379	40.000000	4.218750	-3.946053	-2.630702
380	40.000000	3.281250	-4.092387	-2.728258
381	40.000000	2.343750	-4.319861	-2.879907
382	40.000000	1.406250	-4.491074	-2.994049
383	40.000000	0.468750	-4.456693	-2.971128
384	40.281250	0.000000	-2.008022	-1.338682
385	40.843750	0.000000	-2.162270	-1.441513
386	41.406250	0.000000	-2.242029	-1.494686
387	41.968750	0.000000	-2.235268	-1.490179
388	42.531250	0.000000	-2.133891	-1.422594
389	43.093750	0.000000	-1.930955	-1.287304
390	43.656250	0.000000	-1.623218	-1.082145
391	44.218750	0.000000	-1.219339	-0.812892
392	44.500000	0.468750	1.969396	1.312930
393	44.500000	1.406250	2.536625	1.691084
394	44.500000	2.343750	3.296853	2.197902
395	44.500000	3.281250	4.003670	2.669113
396	44.500000	4.218750	4.517991	3.011994
397	44.500000	5.156250	5.347987	3.565325
398	44.500000	6.093750	6.041081	4.027387
399	44.500000	7.031250	6.558668	4.372446
400	44.500000	7.968750	6.946850	4.631233
401	44.500000	8.906250	7.261382	4.840921
402	44.500000	9.843750	7.546137	5.030758
