point_x 	point_y
34.500000	3.750000
34.500000	6.250000
34.500000	8.750000
34.500000	11.250000
34.500000	13.750000
34.500000	16.250000
34.500000	18.750000
34.500000	21.250000
34.500000	23.750000
34.500000	26.250000
34.500000	28.750000
34.500000	31.250000
34.500000	33.750000
34.500000	36.250000
35.050000	37.500000
36.150000	37.500000
37.250000	37.500000
38.350000	37.500000
39.450000	37.500000
40.000000	36.250000
40.000000	33.750000
40.000000	31.250000
40.000000	28.750000
40.000000	26.250000
40.000000	23.750000
40.000000	21.250000
40.000000	18.750000
40.000000	16.250000
40.000000	13.750000
40.000000	11.250000
40.000000	8.750000
40.000000	6.250000
40.000000	3.750000
40.000000	1.250000
40.225000	0.000000
40.675000	0.000000
41.125000	0.000000
41.575000	0.000000
42.025000	0.000000
42.475000	0.000000
42.925000	0.000000
43.375000	0.000000
43.825000	0.000000
44.275000	0.000000
44.500000	1.250000
44.500000	3.750000
44.500000	6.250000
44.500000	8.750000
44.500000	11.250000
44.500000	13.750000
44.500000	16.250000
44.500000	18.750000
44.500000	21.250000
44.500000	23.750000
44.500000	26.250000
44.500000	28.750000
44.500000	31.250000
44.500000	33.750000
44.500000	36.250000
45.050000	37.500000
46.150000	37.500000
47.250000	37.500000
48.350000	37.500000
49.450000	37.500000
50.000000	36.250000
50.000000	33.750000
50.000000	31.250000
50.000000	28.750000
50.000000	26.250000
50.000000	23.750000
50.000000	21.250000
50.000000	18.750000
50.000000	16.250000
50.000000	13.750000
50.000000	11.250000
50.000000	8.750000
50.000000	6.250000
50.000000	3.750000
50.000000	1.250000
50.225000	0.000000
50.675000	0.000000
51.125000	0.000000
51.575000	0.000000
52.025000	0.000000
52.475000	0.000000
52.925000	0.000000
53.375000	0.000000
53.825000	0.000000
54.275000	0.000000
54.500000	1.250000
54.500000	3.750000
54.500000	6.250000
54.500000	8.750000
54.500000	11.250000
54.500000	13.750000
54.500000	16.250000
54.500000	18.750000
54.500000	21.250000
54.500000	23.750000
54.500000	26.250000
54.500000	28.750000
54.500000	31.250000
54.500000	33.750000
54.500000	36.250000
55.050000	37.500000
56.150000	37.500000
57.250000	37.500000
58.350000	37.500000
59.450000	37.500000
60.000000	36.250000
60.000000	33.750000
60.000000	31.250000
60.000000	28.750000
60.000000	26.250000
60.000000	23.750000
60.000000	21.250000
60.000000	18.750000
60.000000	16.250000
60.000000	13.750000
60.000000	11.250000
60.000000	8.750000
60.000000	6.250000
60.000000	3.750000
60.000000	1.250000
60.225000	0.000000
