x 	y	class
75.375000	28.337500	x
75.375000	27.512500	x
75.375000	26.687500	x
75.375000	25.862500	x
75.375000	25.037500	x
75.375000	24.212500	x
75.375000	23.387500	x
75.375000	22.562500	x
75.375000	21.737500	x
75.375000	20.912500	x
76.125000	36.587500	x
76.125000	35.762500	x
76.125000	34.937500	x
76.125000	34.112500	x
76.125000	33.287500	x
76.125000	32.462500	x
76.125000	31.637500	x
76.125000	30.812500	x
76.125000	29.987500	x
76.125000	29.162500	x
76.125000	28.337500	x
76.125000	27.512500	x
76.125000	26.687500	x
76.125000	25.862500	x
76.125000	25.037500	x
76.125000	24.212500	x
76.125000	23.387500	x
76.125000	22.562500	x
76.125000	21.737500	x
76.125000	20.912500	x
76.875000	36.587500	x
76.875000	35.762500	x
76.875000	34.937500	x
76.875000	34.112500	x
76.875000	33.287500	x
76.875000	32.462500	x
76.875000	31.637500	x
76.875000	30.812500	x
76.875000	29.987500	x
76.875000	29.162500	x
76.875000	28.337500	x
76.875000	27.512500	x
76.875000	26.687500	x
76.875000	25.862500	x
76.875000	25.037500	x
76.875000	24.212500	x
76.875000	23.387500	x
76.875000	22.562500	x
76.875000	21.737500	x
76.875000	20.912500	x
77.625000	36.587500	x
77.625000	35.762500	x
77.625000	34.937500	x
77.625000	34.112500	x
77.625000	33.287500	x
77.625000	32.462500	x
77.625000	31.637500	x
77.625000	30.812500	x
77.625000	29.987500	x
77.625000	29.162500	x
77.625000	28.337500	x
77.625000	27.512500	x
77.625000	26.687500	x
77.625000	25.862500	x
77.625000	25.037500	x
77.625000	24.212500	x
77.625000	23.387500	x
77.625000	22.562500	x
77.625000	21.737500	x
77.625000	20.912500	x
78.375000	36.587500	x
78.375000	35.762500	x
78.375000	34.937500	x
78.375000	34.112500	x
78.375000	33.287500	x
78.375000	32.462500	x
78.375000	31.637500	x
78.375000	30.812500	x
78.375000	29.987500	x
78.375000	29.162500	x
78.375000	28.337500	x
78.375000	27.512500	x
78.375000	26.687500	x
78.375000	25.862500	x
78.375000	25.037500	x
78.375000	24.212500	x
78.375000	23.387500	x
78.375000	22.562500	x
78.375000	21.737500	x
78.375000	20.912500	x
79.125000	36.587500	x
79.125000	35.762500	x
79.125000	34.937500	x
79.125000	34.112500	x
79.125000	33.287500	x
79.125000	32.462500	x
79.125000	31.637500	x
79.125000	30.812500	x
79.125000	29.987500	x
79.125000	29.162500	x
79.125000	28.337500	x
79.125000	27.512500	x
79.125000	26.687500	x
79.125000	25.862500	x
79.125000	25.037500	x
79.125000	24.212500	x
79.125000	23.387500	x
79.125000	22.562500	x
79.125000	21.737500	x
79.125000	20.912500	x
95.375000	19.587500	o
95.375000	18.762500	o
95.375000	17.937500	o
95.375000	17.112500	o
95.375000	16.287500	o
95.375000	15.462500	o
95.375000	14.637500	o
95.375000	13.812500	o
95.375000	12.987500	o
95.375000	12.162500	o
95.375000	11.337500	o
95.375000	10.512500	o
95.375000	9.687500	o
95.375000	8.862500	o
95.375000	8.037500	o
95.375000	7.212500	o
95.375000	6.387500	o
95.375000	5.562500	o
95.375000	4.737500	o
95.375000	3.912500	o
96.125000	19.587500	o
96.125000	18.762500	o
96.125000	17.937500	o
96.125000	17.112500	o
96.125000	16.287500	o
96.125000	15.462500	o
96.125000	14.637500	o
96.125000	13.812500	o
96.125000	12.987500	o
96.125000	12.162500	o
96.125000	11.337500	o
96.125000	10.512500	o
96.125000	9.687500	o
96.125000	8.862500	o
96.125000	8.037500	o
96.125000	7.212500	o
96.125000	6.387500	o
96.125000	5.562500	o
96.125000	4.737500	o
96.125000	3.912500	o
96.875000	19.587500	o
96.875000	18.762500	o
96.875000	17.937500	o
96.875000	17.112500	o
96.875000	16.287500	o
96.875000	15.462500	o
96.875000	14.637500	o
96.875000	13.812500	o
96.875000	12.987500	o
96.875000	12.162500	o
96.875000	11.337500	o
96.875000	10.512500	o
96.875000	9.687500	o
96.875000	8.862500	o
96.875000	8.037500	o
96.875000	7.212500	o
96.875000	6.387500	o
96.875000	5.562500	o
96.875000	4.737500	o
96.875000	3.912500	o
97.625000	19.587500	o
97.625000	18.762500	o
97.625000	17.937500	o
97.625000	17.112500	o
97.625000	16.287500	o
97.625000	15.462500	o
97.625000	14.637500	o
97.625000	13.812500	o
97.625000	12.987500	o
97.625000	12.162500	o
97.625000	11.337500	o
97.625000	10.512500	o
97.625000	9.687500	o
97.625000	8.862500	o
97.625000	8.037500	o
97.625000	7.212500	o
97.625000	6.387500	o
97.625000	5.562500	o
97.625000	4.737500	o
97.625000	3.912500	o
98.375000	19.587500	o
98.375000	18.762500	o
98.375000	17.937500	o
98.375000	17.112500	o
98.375000	16.287500	o
98.375000	15.462500	o
98.375000	14.637500	o
98.375000	13.812500	o
98.375000	12.987500	o
98.375000	12.162500	o
98.375000	11.337500	o
98.375000	10.512500	o
98.375000	9.687500	o
98.375000	8.862500	o
98.375000	8.037500	o
98.375000	7.212500	o
98.375000	6.387500	o
98.375000	5.562500	o
98.375000	4.737500	o
98.375000	3.912500	o
99.125000	19.587500	o
99.125000	18.762500	o
99.125000	17.937500	o
99.125000	17.112500	o
99.125000	16.287500	o
99.125000	15.462500	o
99.125000	14.637500	o
99.125000	13.812500	o
99.125000	12.987500	o
99.125000	12.162500	o
99.125000	11.337500	o
99.125000	10.512500	o
99.125000	9.687500	o
99.125000	8.862500	o
99.125000	8.037500	o
99.125000	7.212500	o
99.125000	6.387500	o
99.125000	5.562500	o
99.125000	4.737500	o
99.125000	3.912500	o
125.375000	36.587500	x
125.375000	35.762500	x
125.375000	34.937500	x
125.375000	34.112500	x
125.375000	33.287500	x
125.375000	32.462500	x
125.375000	31.637500	x
125.375000	30.812500	x
125.375000	29.987500	x
125.375000	29.162500	x
125.375000	28.337500	x
125.375000	27.512500	x
125.375000	26.687500	x
125.375000	25.862500	x
125.375000	25.037500	x
125.375000	24.212500	x
125.375000	23.387500	x
125.375000	22.562500	x
125.375000	21.737500	x
125.375000	20.912500	x
126.125000	36.587500	x
126.125000	35.762500	x
126.125000	34.937500	x
126.125000	34.112500	x
126.125000	33.287500	x
126.125000	32.462500	x
126.125000	31.637500	x
126.125000	30.812500	x
126.125000	29.987500	x
126.125000	29.162500	x
126.125000	28.337500	x
126.125000	27.512500	x
126.125000	26.687500	x
126.125000	25.862500	x
126.125000	25.037500	x
126.125000	24.212500	x
126.125000	23.387500	x
126.125000	22.562500	x
126.125000	21.737500	x
126.125000	20.912500	x
126.875000	36.587500	x
126.875000	35.762500	x
126.875000	34.937500	x
126.875000	34.112500	x
126.875000	33.287500	x
126.875000	32.462500	x
126.875000	31.637500	x
126.875000	30.812500	x
126.875000	29.987500	x
126.875000	29.162500	x
126.875000	28.337500	x
126.875000	27.512500	x
126.875000	26.687500	x
126.875000	25.862500	x
126.875000	25.037500	x
126.875000	24.212500	x
126.875000	23.387500	x
126.875000	22.562500	x
126.875000	21.737500	x
126.875000	20.912500	x
127.625000	36.587500	x
127.625000	35.762500	x
127.625000	34.937500	x
127.625000	34.112500	x
127.625000	33.287500	x
127.625000	32.462500	x
127.625000	31.637500	x
127.625000	30.812500	x
127.625000	29.987500	x
127.625000	29.162500	x
127.625000	28.337500	x
127.625000	27.512500	x
127.625000	26.687500	x
127.625000	25.862500	x
127.625000	25.037500	x
127.625000	24.212500	x
127.625000	23.387500	x
127.625000	22.562500	x
127.625000	21.737500	x
127.625000	20.912500	x
128.375000	36.587500	x
128.375000	35.762500	x
128.375000	34.937500	x
128.375000	34.112500	x
128.375000	33.287500	x
128.375000	32.462500	x
128.375000	31.637500	x
128.375000	30.812500	x
128.375000	29.987500	x
128.375000	29.162500	x
128.375000	28.337500	x
128.375000	27.512500	x
128.375000	26.687500	x
128.375000	25.862500	x
128.375000	25.037500	x
128.375000	24.212500	x
128.375000	23.387500	x
128.375000	22.562500	x
128.375000	21.737500	x
128.375000	20.912500	x
129.125000	36.587500	x
129.125000	35.762500	x
129.125000	34.937500	x
129.125000	34.112500	x
129.125000	33.287500	x
129.125000	32.462500	x
129.125000	31.637500	x
129.125000	30.812500	x
129.125000	29.987500	x
129.125000	29.162500	x
129.125000	28.337500	x
129.125000	27.512500	x
129.125000	26.687500	x
129.125000	25.862500	x
129.125000	25.037500	x
129.125000	24.212500	x
129.125000	23.387500	x
129.125000	22.562500	x
129.125000	21.737500	x
129.125000	20.912500	x
145.375000	36.587500	o
145.375000	35.762500	o
145.375000	34.937500	o
145.375000	34.112500	o
145.375000	33.287500	o
145.375000	32.462500	o
145.375000	31.637500	o
145.375000	30.812500	o
145.375000	29.987500	o
145.375000	29.162500	o
145.375000	28.337500	o
145.375000	27.512500	o
145.375000	26.687500	o
145.375000	25.862500	o
145.375000	25.037500	o
145.375000	24.212500	o
145.375000	23.387500	o
145.375000	22.562500	o
145.375000	21.737500	o
145.375000	20.912500	o
146.125000	36.587500	o
146.125000	35.762500	o
146.125000	34.937500	o
146.125000	34.112500	o
146.125000	33.287500	o
146.125000	32.462500	o
146.125000	31.637500	o
146.125000	30.812500	o
146.125000	29.987500	o
146.125000	29.162500	o
146.125000	28.337500	o
146.125000	27.512500	o
146.125000	26.687500	o
146.125000	25.862500	o
146.125000	25.037500	o
146.125000	24.212500	o
146.125000	23.387500	o
146.125000	22.562500	o
146.125000	21.737500	o
146.125000	20.912500	o
146.875000	36.587500	o
146.875000	35.762500	o
146.875000	34.937500	o
146.875000	34.112500	o
146.875000	33.287500	o
146.875000	32.462500	o
146.875000	31.637500	o
146.875000	30.812500	o
146.875000	29.987500	o
146.875000	29.162500	o
146.875000	28.337500	o
146.875000	27.512500	o
146.875000	26.687500	o
146.875000	25.862500	o
146.875000	25.037500	o
146.875000	24.212500	o
146.875000	23.387500	o
146.875000	22.562500	o
146.875000	21.737500	o
146.875000	20.912500	o
147.625000	36.587500	o
147.625000	35.762500	o
147.625000	34.937500	o
147.625000	34.112500	o
147.625000	33.287500	o
147.625000	32.462500	o
147.625000	31.637500	o
147.625000	30.812500	o
147.625000	29.987500	o
147.625000	29.162500	o
147.625000	28.337500	o
147.625000	27.512500	o
147.625000	26.687500	o
147.625000	25.862500	o
147.625000	25.037500	o
147.625000	24.212500	o
147.625000	23.387500	o
147.625000	22.562500	o
147.625000	21.737500	o
147.625000	20.912500	o
148.375000	36.587500	o
148.375000	35.762500	o
148.375000	34.937500	o
148.375000	34.112500	o
148.375000	33.287500	o
148.375000	32.462500	o
148.375000	31.637500	o
148.375000	30.812500	o
148.375000	29.987500	o
148.375000	29.162500	o
148.375000	28.337500	o
148.375000	27.512500	o
148.375000	26.687500	o
148.375000	25.862500	o
148.375000	25.037500	o
148.375000	24.212500	o
148.375000	23.387500	o
148.375000	22.562500	o
148.375000	21.737500	o
148.375000	20.912500	o
149.125000	36.587500	o
149.125000	35.762500	o
149.125000	34.937500	o
149.125000	34.112500	o
149.125000	33.287500	o
149.125000	32.462500	o
149.125000	31.637500	o
149.125000	30.812500	o
149.125000	29.987500	o
149.125000	29.162500	o
149.125000	28.337500	o
149.125000	27.512500	o
149.125000	26.687500	o
149.125000	25.862500	o
149.125000	25.037500	o
149.125000	24.212500	o
149.125000	23.387500	o
149.125000	22.562500	o
149.125000	21.737500	o
149.125000	20.912500	o
145.375000	19.587500	o
145.375000	18.762500	o
145.375000	17.937500	o
145.375000	17.112500	o
145.375000	16.287500	o
145.375000	15.462500	o
145.375000	14.637500	o
145.375000	13.812500	o
145.375000	12.987500	o
145.375000	12.162500	o
145.375000	11.337500	o
145.375000	10.512500	o
145.375000	9.687500	o
145.375000	8.862500	o
145.375000	8.037500	o
